WID	ATCCODE	Name	Synonym	Brand
1000000	B01AE02	Lepirudin	Hirudin variant-1	Refludan
1000042	L01XC06	Cetuximab	Anti EGFR	Erbitux
1000042	L01XC06	Cetuximab	IMC-C225	Erbitux
1000098	R05CB13	Dornase Alfa	Deoxyribonuclease I	Pulmozyme
1000098	R05CB13	Dornase Alfa	Deoxyribonuclease I	Viscozyme
1000098	R05CB13	Dornase Alfa	Deoxyribonuclease-1 precursor	Pulmozyme
1000098	R05CB13	Dornase Alfa	Deoxyribonuclease-1 precursor	Viscozyme
1000098	R05CB13	Dornase Alfa	DNase	Pulmozyme
1000098	R05CB13	Dornase Alfa	DNase	Viscozyme
1000098	R05CB13	Dornase Alfa	DNase I	Pulmozyme
1000098	R05CB13	Dornase Alfa	DNase I	Viscozyme
1000098	R05CB13	Dornase Alfa	rhDNase	Pulmozyme
1000098	R05CB13	Dornase Alfa	rhDNase	Viscozyme
1000157	L01XX29	Denileukin diftitox	Diphtheria toxin precursor	Ontak
1000157	L01XX29	Denileukin diftitox	DT	Ontak
1000157	L01XX29	Denileukin diftitox	NAD(+--diphthamide ADP- ribosyltransferase)	Ontak
1000200	L04AB01	Etanercept	CD120b	Enbrel
1000200	L04AB01	Etanercept	CD120b	Enbrel (Immunex Corp)
1000200	L04AB01	Etanercept	CD120b	Enbrel Sureclick
1000200	L04AB01	Etanercept	p75	Enbrel
1000200	L04AB01	Etanercept	p75	Enbrel (Immunex Corp)
1000200	L04AB01	Etanercept	p75	Enbrel Sureclick
1000200	L04AB01	Etanercept	p80 TNF-alpha receptor	Enbrel
1000200	L04AB01	Etanercept	p80 TNF-alpha receptor	Enbrel (Immunex Corp)
1000200	L04AB01	Etanercept	p80 TNF-alpha receptor	Enbrel Sureclick
1000200	L04AB01	Etanercept	TNF-R2	Enbrel
1000200	L04AB01	Etanercept	TNF-R2	Enbrel (Immunex Corp)
1000200	L04AB01	Etanercept	TNF-R2	Enbrel Sureclick
1000200	L04AB01	Etanercept	Tumor necrosis factor receptor 2	Enbrel
